"code","iso","country","BCA.ind.1995","BCA.ind.1996","BCA.ind.1997","BCA.ind.1998","BCA.ind.1999","BCA.ind.2000","BCA.ind.2001","BCA.ind.2002","BCA.ind.2003","BCA.ind.2004","BCA.ind.2005","BCA.ind.2006","BCA.ind.2007","BCA.ind.2008","BCA.ind.2009","BCA.ind.2010","BCA.ind.2011","BCA.ind.2012","BCA.ind.2013","BCA.ind.2014","BCA.ind.2015","BCA.ind.2016","BCA.ind.2017","BCA.ind.2018","BCA.ind.2019","BCA.ind.2020","BCA.ind.2021","BCA.ind.2022"
740,"SUR","Suriname",99.1781049188771,99.1781049188771,99.1781049188771,99.1781049188771,99.1781049188771,61.5971610232537,35.712571291912,8.50062379346225,0,0,0,0,0,0,33.0720156290749,34.2311444858231,57.4633312941002,52.1211447916897,68.7786310898422,71.7597094720741,71.7544887501972,75.6035046362003,80.6331572496023,80.9377034777704,91.5568411507664,91.5568411507664,91.5568411507664,91.5568411507664
752,"SWE","Sweden",68.5028003696362,68.5028003696362,68.5028003696362,68.5028003696362,68.5028003696362,74.4960506057029,89.4179482682898,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
756,"CHE","Switzerland",81.2041110689949,81.2041110689949,81.2041110689949,81.2041110689949,81.2041110689949,95.8785908068048,91.6672853970013,95.5660288444355,97.6795384522866,100,100,100,100,100,99.9325529216364,100,100,100,100,100,100,100,100,100,100,100,100,100
760,"SYR","Syria",18.3423355653033,18.3423355653033,18.3423355653033,18.3423355653033,18.3423355653033,31.5895823135726,41.7726211227926,46.3326110331243,56.9020292388963,56.6021537274547,36.7480140628387,15.2798596428811,0,0,0,24.1014842786801,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918,53.3681633641918
158,"TWN","Taiwan",22.8661080097415,22.8661080097415,22.8661080097415,22.8661080097415,22.8661080097415,20.7213722778933,21.8627617054416,20.3423204777121,19.8138769425301,22.018167263621,30.5842815831104,43.1161948452943,55.0669773385952,66.9825970641743,77.4269238217248,81.6475604511899,83.2033751843032,81.9002760670597,80.472393579784,78.3543207171289,76.3759453915182,81.0026522490042,88.3843892136335,100,100,100,100,100
762,"TJK","Tajikistan",93.390858692262,93.390858692262,93.390858692262,93.390858692262,93.390858692262,88.383181654264,80.3534571977638,67.4987166476406,54.0702651780905,50.289234551881,46.6591801643349,42.5413615662952,36.4246216472151,29.789806176717,26.8917539413214,25.7603968147273,25.7209486404803,26.6405508854618,27.6560349241268,28.0320628823345,28.0525487887964,32.8522031272285,36.6999887457032,39.1880595950702,43.0370521736953,43.0370521736953,43.0370521736953,43.0370521736953
834,"TZA","Tanzania",35.5884530413038,35.5884530413038,35.5884530413038,35.5884530413038,35.5884530413038,29.2719006316104,25.3915918679265,23.2441178705145,23.2362837619949,25.3397037694407,28.2045130215765,32.701776322398,39.2547068437459,44.3530045721885,48.221574754135,48.2279852923078,48.6802000033087,47.5404627611475,46.2136671225595,46.8959748595237,47.6853346616436,48.9755956973394,49.9743521475077,51.8932528060203,55.2455925545098,55.2455925545098,55.2455925545098,55.2455925545098
764,"THA","Thailand",34.8228021552723,34.8228021552723,34.8228021552723,34.8228021552723,34.8228021552723,46.767054482968,59.1793499997002,66.3369785551658,66.3121282257084,59.9455540122947,47.3639763452238,32.1950609860179,18.795926169024,21.4419895015229,21.440304517648,24.7630725645046,35.3275936426893,41.0818034583655,43.3540075173318,40.1864742895366,38.8035752496508,38.7951253397601,41.7849952440686,47.4788827016691,54.7708476451566,54.7708476451566,54.7708476451566,54.7708476451566
626,"TLS","Timor-Leste",53.6002919922811,53.6002919922811,53.6002919922811,53.6002919922811,53.6002919922811,55.0226011608623,57.3910015039431,54.3575863687518,53.1507836604152,53.0650217811362,57.3243583624299,52.1259413247238,52.0081105984822,54.8596652688025,59.9900121439381,65.9642774346238,76.3927875540045,81.4561396156379,86.8853279188091,83.5684511724585,77.6357821124568,73.7065908826124,71.3564924118614,69.1609434807943,67.4481049475526,67.4481049475526,67.4481049475526,67.4481049475526
768,"TGO","Togo",36.3339354291586,36.3339354291586,36.3339354291586,36.3339354291586,36.3339354291586,26.9570546260476,24.0997558541063,24.3999052354292,24.2522954115032,24.6147180025617,27.302283121382,24.6846291916626,29.3766928777967,35.5395702895984,17.7784712924562,5.41217992898001,1.95538904914353,3.99134954809912,3.93280915745721,7.48323301351398,13.8115537176974,21.5556197789428,31.8680106108127,46.6695892521844,43.2354521988901,43.2354521988901,43.2354521988901,43.2354521988901
776,"TON","Tonga",51.4899568471034,51.4899568471034,51.4899568471034,51.4899568471034,51.4899568471034,55.2787318389444,56.4016915586636,65.7750611835154,76.9746879360416,79.1366211668015,93.4684158863685,96.9121978686453,99.9135499339619,100,88.6332835720236,85.680869495931,84.9373712403617,84.6367512188102,87.5105415269793,89.4037150007744,92.6817600139841,89.4899534849121,95.7665928987783,98.3032947320084,97.4847190810108,97.4847190810108,97.4847190810108,97.4847190810108
780,"TTO","Trinidad and Tobago",51.9084402864808,51.9084402864808,51.9084402864808,51.9084402864808,51.9084402864808,51.1682260435572,52.3524808450982,44.3442124919546,44.3066701058139,46.1454016107772,39.2020393622327,25.9659788502097,21.8381746184008,19.1490814151969,24.1432539564163,31.6490707332003,48.2797227570749,62.967711515622,73.4925450063173,96.1262245629188,100,100,93.3957978516398,89.4659797661693,82.004451320592,82.004451320592,82.004451320592,82.004451320592
788,"TUN","Tunisia",18.933780648988,18.933780648988,18.933780648988,18.933780648988,18.933780648988,18.7116792320343,19.2897378088653,23.1248586566061,24.5857426702124,26.8845962427228,29.5276247976712,33.5950615342682,36.0550829400228,40.3318205407592,37.9601117259659,42.2315035239949,52.562749170166,62.7952295884179,71.2694466425529,74.0928841088389,73.3831137002794,72.4972679104836,66.8571180068035,59.8734814250172,44.5596632661873,44.5596632661873,44.5596632661873,44.5596632661873
