"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020","BHV.ind.2021","BHV.ind.2022"
234,"FRO","Faeroe Islands",47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102,47.4102
238,"FLK","Falkland Islands",74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178,74.8178
242,"FJI","Fiji",72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332,72.332
246,"FIN","Finland",60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413,60.8413
250,"FRA","France",36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914,36.5914
258,"PYF","French Polynesia",20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941,20.941
266,"GAB","Gabon",65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211,65.9211
270,"GMB","Gambia",28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671,28.6671
268,"GEO","Georgia",38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073,38.7073
276,"DEU","Germany",36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814,36.1814
