"code","iso","country","GRL.ind.1995","GRL.ind.1996","GRL.ind.1997","GRL.ind.1998","GRL.ind.1999","GRL.ind.2000","GRL.ind.2001","GRL.ind.2002","GRL.ind.2003","GRL.ind.2004","GRL.ind.2005","GRL.ind.2006","GRL.ind.2007","GRL.ind.2008","GRL.ind.2009","GRL.ind.2010","GRL.ind.2011","GRL.ind.2012","GRL.ind.2013","GRL.ind.2014","GRL.ind.2015","GRL.ind.2016","GRL.ind.2017","GRL.ind.2018","GRL.ind.2019","GRL.ind.2020","GRL.ind.2021","GRL.ind.2022"
446,"MAC","Macao",20.4903295830888,20.4903295830888,20.4903295830888,20.4903295830888,20.4903295830888,20.4903295830888,6.13828584621588,0,0,0,0,0,6.13792687081677,3.82766588338171,3.82766588338171,6.13813192804018,9.1169297102611,9.1169297102611,13.3146500401144,13.3146500401144,20.4901243738262,99.9999999999997,20.4888940109986,20.4888940109986,20.4888940109986,20.4888940109986,20.4888940109986,20.4888940109986
450,"MDG","Madagascar",14.3086244244026,14.3086244244026,14.3086244244026,10.3426401598812,4.08693152618704,2.18703484542286,1.09994272647009,0.304549137374011,0,0,0,0,0,0,2.29566646496113,3.58084294808664,5.41022567737284,8.12066541745166,13.2941397972692,30.4831485195811,33.5781166488626,37.1000410520578,37.8338473101867,39.2696732885584,72.0158357080691,70.5221922973524,70.5221922973524,70.5221922973524
454,"MWI","Malawi",49.4285516828559,49.4285516828559,49.4285516828559,49.4285516828559,49.4285516828559,80.0573093163431,34.0705686425555,27.9522775092499,24.4987727209556,24.2011388167557,23.6597877888614,26.8773590179676,28.0873909319991,28.1376477679242,28.5758930461639,29.1773191232716,27.5393340869145,30.3416285226606,35.0452107837512,34.4921886880127,34.9333270924749,28.3677275166458,27.4475831446207,22.4753971314431,18.9093896366154,18.8629537137454,18.8629537137454,18.8629537137454
458,"MYS","Malaysia",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,0.408811698255988,0.408811698255988,0.408811698255988,0,0,0,0,0,0,0
462,"MDV","Maldives",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
466,"MLI","Mali",47.712720273732,47.712720273732,47.712720273732,47.7190646045073,47.7190646045073,76.8247345490253,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,69.9955987901374,47.4158224945589,47.4158224945589,47.4158224945589,47.4158224945589,48.5846458831864,99.9999999999997,99.9999999999997,97.1526622123291,97.1526622123291,97.1526622123291,97.1526622123291,97.1526622123291,99.9999999999997,99.9999999999997,99.9999999999997
470,"MLT","Malta",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
584,"MHL","Marshall Islands",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
478,"MRT","Mauritania",54.7638570736034,54.7638570736034,54.7638570736034,42.2393414088003,37.2653174392228,31.9832855434875,29.3407541842369,30.2417384178899,32.1096535405972,34.8476443629706,40.9067707211416,52.9754674703202,52.9754674703202,47.0585895119538,47.0585895119538,30.7318751280419,30.7318751280419,30.7318751280419,32.3909783055632,32.2543826435375,76.0226578061429,53.7136804574266,41.3445316768603,30.7775936935274,24.1465972424915,23.8814528742501,23.8814528742501,23.8814528742501
480,"MUS","Mauritius",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,10.5980668937951,3.42181590678649,3.42181590678649,3.42181590678649,0,3.42190813823639,10.5982513378154,10.5982513378154,10.5982513378154,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
484,"MEX","Mexico",79.7773725076005,79.7773725076005,79.7773725076005,85.5762497858712,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,82.2266243377288,70.7579129370552,66.7867902793842,66.7867902793842,64.8201027218292,66.5362063828586,72.6409414208558,81.1571517197086,81.1571517197086,81.1571517197086
583,"FSM","Micronesia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
