"code","iso","country","WWT.ind.1995","WWT.ind.1996","WWT.ind.1997","WWT.ind.1998","WWT.ind.1999","WWT.ind.2000","WWT.ind.2001","WWT.ind.2002","WWT.ind.2003","WWT.ind.2004","WWT.ind.2005","WWT.ind.2006","WWT.ind.2007","WWT.ind.2008","WWT.ind.2009","WWT.ind.2010","WWT.ind.2011","WWT.ind.2012","WWT.ind.2013","WWT.ind.2014","WWT.ind.2015","WWT.ind.2016","WWT.ind.2017","WWT.ind.2018","WWT.ind.2019","WWT.ind.2020","WWT.ind.2021","WWT.ind.2022"
344,"HKG","Hong Kong",95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
348,"HUN","Hungary",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3
352,"ISL","Iceland",15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478,15.2535620051478
356,"IND","India",2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464,2.2464
360,"IDN","Indonesia",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
364,"IRN","Iran",3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
368,"IRQ","Iraq",13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095,13.095
372,"IRL","Ireland",86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95
833,"IMN","Isle of Man",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
376,"ISR","Israel",81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992,81.6992
380,"ITA","Italy",58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75
388,"JAM","Jamaica",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
392,"JPN","Japan",74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436,74.8436
